time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,fuel,is_malicious,is_collision
0,human_0,48.317563769532256,-1.5890293108258724,0.0,5.514774263979341,human_1,,,,,0,0,bottom,0,0.0,0.5206763304821533,human_29,0.0,0.00029807367774782866,0,0
0,human_1,58.065267874705846,-0.4990114098605297,0.0,6.616429467673303,human_2,,,,,0,0,bottom,0,0.0,10.035450594461494,human_0,0.0,0.00029807367774782866,0,0
0,human_2,68.44359296008977,2.95986056443605,0.0,3.8023014250081317,human_3,,,,,0,0,bottom,0,0.0,20.651880062134797,human_1,0.0,0.00029807367774782866,0,0
0,human_3,75.44848191476817,6.920997143695337,0.0,7.720107268345327,human_4,,,,,0,0,bottom,0,0.0,28.45418148714293,human_2,0.0,0.00029807367774782866,0,0
0,human_4,84.53794671590691,14.86564828851704,0.0,3.2207594184377157,human_5,,,,,0,0,bottom,0,0.0,40.174288755488256,human_3,0.0,0.00029807367774782866,0,0
0,human_5,89.06237601535818,20.783229748019256,0.0,8.379883035011026,human_6,,,,,0,0,bottom,0,0.0,47.39504817392597,human_4,0.0,0.00029807367774782866,0,0
0,human_6,94.60440052349144,32.26298473666734,0.0,6.246009705063891,human_7,,,,,0,0,bottom,0,0.0,59.774931208937,human_5,0.0,0.00029807367774782866,0,0
0,human_7,96.81566661190261,42.588525745090365,0.0,5.476646640770918,human_8,,,,,0,0,bottom,0,0.0,70.02094091400089,human_6,0.0,0.00029807367774782866,0,0
0,human_8,96.87302263740972,52.313764094361986,0.0,6.945347134685031,human_9,,,,,0,0,right,0,0.0,4.397587554771807,human_7,0.0,0.00029807367774782866,0,0
0,human_9,94.56830532968549,63.35325402304674,0.0,4.368001275292825,human_10,,,,,0,0,right,0,0.0,15.342934689456838,human_8,0.0,0.00029807367774782866,0,0
0,human_10,91.12637618476819,71.26718474262992,0.0,6.053105365446964,human_11,,,,,0,0,right,0,0.0,23.710935964749662,human_9,0.0,0.00029807367774782866,0,0
0,human_11,85.25413246970211,79.80449997714828,0.0,7.985400641279277,human_12,,,,,0,0,right,0,0.0,33.764041330196626,human_10,0.0,0.00029807367774782866,0,0
0,human_12,76.12486382036643,88.11152668843164,0.0,4.570316801472927,human_13,,,,,0,0,right,0,0.0,45.7494419714759,human_11,0.0,0.00029807367774782866,0,0
0,human_13,68.47029501997515,92.52810883715405,0.0,6.120136810916151,human_14,,,,,0,0,right,0,0.0,54.31975877294883,human_12,0.0,0.00029807367774782866,0,0
0,human_14,58.59363178682328,95.87917629577204,0.0,6.560104416135019,human_15,,,,,0,0,right,0,0.0,64.43989558386498,human_13,0.0,0.00029807367774782866,0,0
0,human_15,47.78,97.1,0.0,6.96139871335313,human_16,,,,,0,0,right,0,0.0,75.0,human_14,0.0,0.00029807367774782866,0,0
0,human_16,36.602943312793755,95.81035827712847,0.0,3.1907802762301056,human_17,,,,,0,0,top,0,0.0,10.86139871335313,human_15,0.0,0.00029807367774782866,0,0
0,human_17,29.523281544855745,93.59773279521373,0.0,7.139850254362511,human_18,,,,,0,0,top,0,0.0,18.052178989583236,human_16,0.0,0.00029807367774782866,0,0
0,human_18,19.42417349042972,88.14685791857048,0.0,9.0294723695432,human_19,,,,,0,0,top,0,0.0,29.192029243945747,human_17,0.0,0.00029807367774782866,0,0
0,human_19,9.58778831603972,79.0281721540781,0.0,33.05367962546799,human_23,,,,,0,0,top,0,0.0,42.22150161348895,human_18,0.0,0.00029807367774782866,0,0
0,human_23,-1.394960671582925,43.414853314390484,0.0,5.094638494592179,human_24,,,,,0,0,left,0,0.0,4.175181238956939,human_19,0.0,0.00029807367774782866,0,0
0,human_24,0.30396765140265924,34.193298253542935,0.0,8.870863751866162,human_25,,,,,0,0,left,0,0.0,13.269819733549118,human_23,0.0,0.00029807367774782866,0,0
0,human_25,5.632668792681245,22.06285083933502,0.0,4.106771579715513,human_26,,,,,0,0,left,0,0.0,26.14068348541528,human_24,0.0,0.00029807367774782866,0,0
0,human_26,10.568658670841605,15.314707349241543,0.0,4.86849490117752,human_27,,,,,0,0,left,0,0.0,34.247455065130794,human_25,0.0,0.00029807367774782866,0,0
0,human_27,17.196735747914722,9.015487280296107,0.0,7.001539150861035,human_28,,,,,0,0,left,0,0.0,43.115949966308314,human_26,0.0,0.00029807367774782866,0,0
0,human_28,26.839267934242436,3.057692469187473,0.0,6.001407923272332,human_29,,,,,0,0,left,0,0.0,54.11748911716935,human_27,0.0,0.00029807367774782866,0,0
0,human_29,36.58309972797607,-0.3058576702626138,0.0,7.501779290040474,human_0,,,,,0,0,left,0,0.0,64.11889704044168,human_28,0.0,0.00029807367774782866,0,0
